Player,Name_abbreviation,Team,Opponent,Home Team,Away Team,Over Line,Over Odds,Under Line,Under Odds,API Projected Value,API Recommended Side,Streak,Streak Type,Probability,Bet Rating,Diff,ML Strikeout Line,ML Predict Value,ML Recommend Side,ML Confidence Percentage,Pitcher 2023
Zack Littell,litteza,TBR,,,,3.5,1.57,4.5,1.71,4.92,over,4,over,0.7235640465598,4.0,1.42,4.0,,,,True
Hunter Brown,brownhu,HOU,,,,5.5,1.7,6.5,1.61,5.19,under,2,over,,,-1.31,6.0,,,,True
Luis Castillo,castilu,SEA,,,,7.0,1.73,7.5,1.67,6.21,under,3,under,,,-1.29,7.25,,,,True
Cole Ragans,raganco,KCR,,,,5.0,1.73,5.5,1.75,6.2,over,1,under,,,1.2,5.25,,,,True
Freddy Peralta,peralfr,MIL,,,,7.5,1.73,8.0,1.73,6.83,under,3,under,,,-1.17,7.75,,,,True
Quinn Priester,priesqu,PIT,,,,3.5,2.04,3.5,1.93,4.46,over,4,under,,,0.96,3.5,,,,True
Chris Bassitt,bassich,TOR,,,,5.0,1.73,6.0,1.73,5.09,under,2,under,,,-0.91,5.5,,,,True
Jake Irvin,irvinja,WSN,,,,3.5,1.8,4.0,1.73,4.39,over,2,under,,,0.89,3.75,,,,True
Jose Quintana,quintjo,NYM,,,,3.5,1.73,3.5,2.23,4.23,over,1,under,,,0.73,3.5,,,,True
Griffin Canning,cannigr,LAA,,,,5.0,1.73,5.5,1.78,4.9,under,2,under,,,-0.6,5.25,,,,True
Blake Snell,snellbl,SFG,,,,5.5,1.83,5.5,2.1,6.04,over,3,over,,,0.54,5.5,,,,True
Andrew Heaney,heanean,TEX,,,,4.5,1.67,5.0,1.73,5.0,over,3,under,,,0.5,4.75,,,,True
Taijuan Walker,walketa,PHI,,,,4.5,1.93,4.5,1.95,4.04,under,8,under,,,-0.46,4.5,,,,True
Casey Mize,mizeca,DET,,,,3.5,1.62,4.0,1.73,3.94,over,1,under,,,0.44,3.75,,,,False
Simeon Woods Richardson,woodssi,MIN,,,,3.5,2.1,3.5,1.78,3.8,over,1,under,,,0.3,3.5,,,,False
Austin Gomber,gombeau,COL,,,,3.5,1.96,4.0,1.73,3.78,over,2,under,,,0.28,3.75,,,,True
Nestor Cortes Jr.,cortene,NYY,,,,5.5,1.95,5.5,1.88,5.73,over,2,under,,,0.23,5.5,,,,True
Nick Nastrini,nastrni,CHW,,,,4.0,1.73,4.5,1.65,4.33,under,3,under,,,-0.17,4.25,,,,False
Trevor Rogers,rogertr,MIA,,,,4.5,2.0,4.5,1.91,4.57,over,1,over,,,0.07,4.5,,,,False
Nick Lodolo,lodolni,CIN,,,,6.0,1.73,6.5,1.76,6.44,under,1,over,,,-0.06,6.25,,,,True
Brandon Pfaadt,pfaadbr,ARI,,,,5.5,1.77,6.0,1.73,5.56,over,1,over,,,0.06,5.75,,,,True
Brayan Bello,bellobr,BOS,,,,4.5,1.71,5.0,1.73,4.53,over,1,under,,,0.03,4.75,,,,True
