Season,Pitcher,Home,Opp,IP,H,BB,SO,ERA,FIP,GB,FB,LD,PU,WPA
2023,livelbe,0.0,NYM,3.0,4,0,1,0.00,2.59,7,5,4,0,0.115
2023,livelbe,1.0,COL,2.1,1,0,1,1.69,2.51,5,2,1,1,0.152
2023,livelbe,0.0,NYY,5.2,2,1,8,2.45,2.89,3,8,2,2,0.197
2023,livelbe,0.0,STL,6.0,5,2,8,2.65,3.96,7,8,4,1,0.152
2023,livelbe,1.0,BOS,5.2,4,2,6,1.99,3.52,5,9,4,0,0.337
2023,livelbe,0.0,MIL,7.0,6,3,5,3.03,4.30,8,13,4,1,-0.191
2023,livelbe,1.0,STL,6.2,10,1,8,4.21,4.91,8,14,7,2,-0.290
2023,livelbe,1.0,KCR,5.2,10,0,4,4.07,4.56,6,16,11,0,0.116
2023,livelbe,0.0,COL,4.0,3,4,4,4.11,5.10,2,9,4,1,0.044
2023,livelbe,1.0,MIL,5.2,4,2,5,3.83,4.82,3,13,7,1,0.136
2023,livelbe,0.0,MIL,4.0,3,0,3,3.72,4.84,6,6,2,0,0.114
2023,livelbe,0.0,ARI,4.2,4,2,6,3.88,4.83,6,6,3,2,-0.068
2023,livelbe,1.0,MIL,6.2,8,0,3,3.76,4.78,11,13,8,0,0.079
2023,livelbe,1.0,CHC,4.0,13,2,2,5.20,5.49,8,14,5,1,-0.485
2023,livelbe,1.0,ARI,5.2,6,0,5,5.17,5.37,5,12,3,1,-0.006
2023,livelbe,1.0,DET,4.1,4,0,4,5.22,5.32,5,9,3,2,-0.070
2023,livelbe,0.0,MIN,4.0,7,4,4,5.51,5.42,6,8,5,0,-0.079
2023,livelbe,1.0,CLE,1.0,0,0,2,5.44,5.35,1,0,0,0,0.013
2023,livelbe,1.0,STL,2.2,2,2,0,5.38,5.35,6,3,2,1,0.001
2023,pepiory,0.0,MIA,5.0,3,1,5,1.80,2.46,5,7,3,0,0.153
2023,pepiory,1.0,CLE,4.0,3,0,6,2.00,2.92,4,5,5,0,0.068
2023,pepiory,0.0,ARI,5.0,2,1,3,1.29,3.04,6,8,2,3,0.211
2023,pepiory,1.0,MIA,7.0,1,0,3,0.86,2.83,10,9,1,2,0.312
2023,pepiory,0.0,SDP,6.0,6,0,5,2.00,3.51,5,13,4,5,-0.147
2023,pepiory,0.0,DET,6.0,5,1,4,1.91,3.71,5,14,5,2,0.202
2023,pepiory,1.0,COL,6.0,5,1,9,1.85,3.59,4,9,4,0,0.122
