Player,Name_abbreviation,Team,Over Line,Over Odds,Under Line,Under Odds,API Projected Value,API Recommended Side,Streak,Streak Type,Diff,ML Strikeout Line,ML Predict Value,ML Recommend Side,ML Confidence Percentage,Pitcher 2023
Hayden Wesneski,wesneha,HOU,3.5,1.61,4.5,1.62,4.9,over,7,under,1.4,4.0,2.378227808532091,Under,63.78227808532091,True
Trevor Williams,willitr,WSN,2.5,1.6,3.5,1.57,3.64,over,1,under,1.14,3.0,3.754575423527365,Over,72.45424576472635,True
Carson Spiers,spierca,CIN,3.5,1.75,4.0,1.73,4.54,over,1,over,1.04,3.75,3.084207615795096,Under,73.34207615795097,False
Kyle Hendricks,hendrky,LAA,2.5,1.93,2.5,2.15,3.47,over,3,under,0.97,2.5,2.839738685239131,Over,76.60261314760871,True
Corbin Burnes,burneco,ARI,5.0,1.73,5.5,1.92,5.89,over,2,under,0.89,5.25,6.488628133622196,Over,67.61371866377804,True
Logan Webb,webblo,SFG,4.5,2.0,4.5,1.84,5.26,over,1,over,0.76,4.5,5.980570741994034,Over,65.19429258005967,True
Michael Lorenzen,lorenmi,KCR,3.5,1.67,4.5,1.48,4.09,over,6,under,0.59,4.0,3.319029916209294,Under,73.19029916209294,True
Jose Berrios,berrijo,TOR,4.5,1.68,5.5,1.59,4.94,under,2,under,-0.56,5.0,4.37622892199138,Under,73.76228921991381,True
Simeon Woods Richardson,woodssi,MIN,4.5,2.02,4.5,1.81,4.04,under,2,under,-0.46,4.5,4.295670068114288,Under,77.95670068114289,False
Shane Baz,bazsh,TBR,4.5,1.67,5.0,1.73,4.95,over,1,under,0.45,4.75,5.763034389553471,Over,69.86965610446529,False
Kodai Senga,sengako,NYM,5.0,1.73,5.5,1.7,5.12,under,1,over,-0.38,5.25,-0.030076799523610837,Under,27.199232004763896,True
Nathan Eovaldi,eovalna,TEX,5.5,1.85,6.5,1.61,5.65,over,1,over,0.15,6.0,5.761660319169023,Under,77.61660319169023,True
Will Warren,warrewi,NYY,4.0,1.73,4.5,1.67,4.46,under,3,under,-0.04,4.25,5.058029943916444,Over,71.91970056083557,False
Matthew Liberatore,liberma,STL,3.5,1.66,4.0,1.73,3.52,over,23,under,0.02,3.75,1.7272148476999838,Under,59.772148476999845,True
