Player,Name_abbreviation,Team,Opponent,Home Team,Away Team,Over Line,Over Odds,Under Line,Under Odds,API Projected Value,API Recommended Side,Streak,Streak Type,Probability,Bet Rating,Diff
Jacob deGrom,degroja,TEX,N/A,N/A,N/A,6.5,1.75,7,1.73,5.18,under,4,under,0.73541824620005,5,-1.82
Bailey Ober,oberba,MIN,N/A,N/A,N/A,4.5,1.78,5,1.73,5.79,over,2,under,,,1.29
Tanner Bibee,bibeeta,CLE,N/A,N/A,N/A,4.5,1.83,4.5,2.1,5.67,over,1,under,,,1.17
Max Meyer,meyerma,MIA,N/A,N/A,N/A,3.5,1.57,4.5,1.63,4.6,over,1,under,,,1.1
Aaron Nola,nolaaa,PHI,N/A,N/A,N/A,5,1.73,5.5,1.69,5.93,over,1,under,,,0.93
Taj Bradley,bradlta,TBR,N/A,N/A,N/A,6.5,1.87,6.5,2.01,5.73,under,1,under,,,-0.77
Andrew Heaney,heanean,PIT,N/A,N/A,N/A,4,1.73,4.5,1.62,4.74,over,4,under,,,0.74
Tomoyuki Sugano,suganto,BAL,N/A,N/A,N/A,2.5,1.86,2.5,2.1,3.24,over,0,,,,0.74
Jack Kochanowicz,kochaja,LAA,N/A,N/A,N/A,2.5,1.74,3,1.73,3.15,over,2,under,,,0.65
Nick Pivetta,pivetni,SDP,N/A,N/A,N/A,5.5,1.82,5.5,2.0,6.13,over,1,under,,,0.63
Matthew Boyd,boydma,CHC,N/A,N/A,N/A,4.5,2.02,4.5,1.96,5.08,over,2,under,,,0.58
JP Sears,searsjp,ATH,N/A,N/A,N/A,4,1.73,4.5,1.65,4.51,over,2,under,,,0.51
Bryan Woo,woobr,SEA,N/A,N/A,N/A,5.5,1.92,5.5,2.02,5.02,under,1,under,,,-0.48
Andre Pallante,pallaan,STL,N/A,N/A,N/A,3.5,1.8,4.5,1.38,3.95,over,1,under,,,0.45
Davis Martin,martida,CHW,N/A,N/A,N/A,4,1.73,4.5,1.77,4.09,under,5,under,,,-0.41
Eduardo Rodriguez,rodried,ARI,N/A,N/A,N/A,4.5,1.95,4.5,1.85,4.89,over,2,under,,,0.39
Marcus Stroman,stromma,NYY,N/A,N/A,N/A,3.5,1.75,4,1.73,3.86,over,3,under,,,0.36
Michael Wacha,wachami,KCR,N/A,N/A,N/A,4.5,1.77,4.5,2.15,4.85,over,4,under,,,0.35
Aaron Civale,civalaa,MIL,N/A,N/A,N/A,4.5,1.94,4.5,2.0,4.82,over,2,under,,,0.32
Chris Bassitt,bassich,TOR,N/A,N/A,N/A,4.5,1.4,5.5,1.88,5.19,under,3,under,,,-0.31
Nick Martinez,martini,CIN,N/A,N/A,N/A,4.5,2.1,4.5,1.79,4.75,over,2,under,,,0.25
Richard Fitts,fittsri,BOS,N/A,N/A,N/A,3.5,2.1,3.5,1.79,3.74,over,5,under,,,0.24
Mitchell Parker,parkemi,WSN,N/A,N/A,N/A,4.5,1.98,4.5,1.91,4.65,over,1,under,,,0.15
Ryan Feltner,feltnry,COL,N/A,N/A,N/A,4.5,2.2,4.5,1.72,4.61,over,2,under,,,0.11
