Team,2023,2024,2025
OAK,71.88851513695339,70.02331002331003,67.02412868632707
TOR,63.59199609565642,64.75840336134453,59.5679012345679
KCR,67.37451737451737,61.23417721518988,67.68018018018019
SFG,68.88273314866112,67.6923076923077,67.03397612488521
MIA,65.89861751152074,68.88128969223254,65.63706563706563
TBR,62.28070175438597,71.0866443274294,63.44463971880492
BOS,63.99253731343284,67.64325721671693,65.82792207792207
CLE,63.30376940133038,62.81512605042017,69.1
CHC,62.94117647058823,64.91897044804576,59.09893992932862
NYY,67.95238095238095,61.93367585240542,63.45514950166113
CHW,68.9588377723971,73.45549738219896,71.78743961352657
LAA,67.34423331860361,69.03949293027792,69.39799331103679
BAL,62.93063849333945,63.35664335664336,67.9245283018868
TEX,61.64562472790597,65.27707168276564,68.36049856184084
CIN,65.7030223390276,67.60889712696941,65.14236410698878
SEA,67.89495976281236,70.62146892655367,65.76419213973799
COL,68.15371024734982,70.33492822966507,73.78892733564014
HOU,60.00967117988395,61.37787056367432,64.67710371819962
ATL,57.64758497316637,67.48267898383372,67.81076066790352
DET,69.02530459231491,68.17545496966869,63.171140939597315
ARI,62.568991470145505,58.80985588098559,60.08888888888889
MIN,68.00986842105263,63.76953125,66.54205607476635
PIT,67.90352504638219,69.36895439889452,71.05508870214753
MIL,65.98130841121495,65.25044722719142,62.8310502283105
PHI,65.0417215634607,63.602599814298976,63.2258064516129
LAD,60.0,61.34067952249771,59.299416180150125
SDP,63.54823073194377,58.62819814915623,63.2183908045977
NYM,64.990234375,64.27906976744187,64.36672967863895
WSN,62.14169821525148,64.8936170212766,63.43355965082444
STL,64.84107579462103,66.23115577889448,62.857142857142854
